dataset,seed,n_samples,name,mu_star,mu_star_conf
production,200,16,Resource Calendar ID4493,67553466.74518323,41934464.10286793
production,200,16,Resource Calendar ID4528,3609599.9598156586,1417094.8369462902
production,200,16,Resource Calendar ID4529,1903103.3017234534,2365173.831178167
production,200,16,Resource Calendar ID4618,2595678.624290892,1925828.582080235
production,200,16,Resource Calendar ID4622,1384392.82966535,494252.0919176069
production,200,16,Resource Calendar ID4641,2422242.89144696,1468319.6260741325
production,200,16,Resource Calendar ID4718,1665386.5524863368,1399153.901574486
production,200,16,Resource Calendar ID4783,1026418.2178075468,367061.9501342919
production,200,16,Resource Calendar ID4794,3296745.1574687213,2248284.807998263
production,200,16,Resource Calendar ID4799,2760583.2806778946,2316348.8596690153
production,200,16,Resource Calendar ID4820,1474411.1137912718,497490.08125840005
production,200,16,Resource Calendar ID4851,3380620.081498536,2127589.077795787
production,200,16,Resource Calendar ID4872,3482203.3206284964,2730873.2700591907
production,200,16,Resource Calendar ID4873,1978337.6351281588,1923243.8284689973
production,200,16,Resource Calendar ID4882,1581480.584132239,878414.0802733724
production,200,16,Resource Calendar ID4890,3253508.227474554,2042547.8398366554
production,200,16,Resource Calendar ID4932,1923888.3880963887,1084734.3397797663
production,200,16,Resource Calendar ID4955,2436528.4870684934,1750920.392134012
production,200,16,Resource Calendar Start,1719852.6982421377,1053792.3981642895
production,300,16,Resource Calendar End,1864947.722705343,1066388.7688051087
production,300,16,Resource Calendar ID0420,1232444.563965286,721144.752169087
production,300,16,Resource Calendar ID0937,2884143.1309737004,1608151.8663083555
production,300,16,Resource Calendar ID0997,5979305.050781214,2813283.506695645
production,300,16,Resource Calendar ID0998,2707999.153342825,2472374.128964368
production,300,16,Resource Calendar ID3641,2595283.44943883,2298993.1166340066
production,300,16,Resource Calendar ID3716,3277152.379300793,2459113.262174786
production,300,16,Resource Calendar ID3718,2138029.3387352973,1850179.8072197917
production,300,16,Resource Calendar ID3846,1811898.6261221077,1628721.2082903075
production,300,16,Resource Calendar ID3854,764741.105805949,286653.67175169144
production,300,16,Resource Calendar ID3998,4350954.997611724,2445429.1261846586
production,300,16,Resource Calendar ID4109,2999851.9097069167,2653957.7679351033
production,300,16,Resource Calendar ID4132,2596327.3250459614,1356060.9444594414
production,300,16,Resource Calendar ID4140,2015494.2084919314,1255795.0323703163
production,300,16,Resource Calendar ID4142,2463582.4936625147,1590257.089298428
production,300,16,Resource Calendar ID4160,2277386.1004040763,1986161.7966418648
production,300,16,Resource Calendar ID4162,3475898.4791641375,2483605.8787861257
production,300,16,Resource Calendar ID4163,2110422.6397101865,1117133.1852950368
production,300,16,Resource Calendar ID4167,3484668.671063386,1465352.0442018323
production,300,16,Resource Calendar ID4219,2997654.385364912,1772630.430080693
production,300,16,Resource Calendar ID4287,2297342.977666453,1528079.0777274796
production,300,16,Resource Calendar ID4291,3369448.1210583597,3888001.077973666
production,300,16,Resource Calendar ID4326,3162227.837289009,2148662.8662788803
production,300,16,Resource Calendar ID4355,2351458.555755614,1853859.1701629844
production,300,16,Resource Calendar ID4385,1195117.211986977,832895.7769233346
production,300,16,Resource Calendar ID4429,2341425.1032398785,1590725.3602581073
production,300,16,Resource Calendar ID4442,3219275.2670702473,1760372.1566792645
production,300,16,Resource Calendar ID4445,4253988.3149867775,2234466.84442142
production,300,16,Resource Calendar ID4491,1840513.8555690572,1393129.49839935
production,300,16,Resource Calendar ID4493,109314477.29970418,53042545.35593807
production,300,16,Resource Calendar ID4528,3043974.952047274,1408210.832536664
production,300,16,Resource Calendar ID4529,1446860.3589300916,601825.6210284294
production,300,16,Resource Calendar ID4618,2552705.084220985,2095508.8281522046
production,300,16,Resource Calendar ID4622,3183835.0571228173,2411096.4499411457
production,300,16,Resource Calendar ID4641,2840855.0127502126,1932088.6652399034
production,300,16,Resource Calendar ID4718,2757976.9085898334,1765467.1111881325
production,300,16,Resource Calendar ID4783,2713150.8190593226,2176626.204512937
production,300,16,Resource Calendar ID4794,3591875.4678592933,1916898.3320593438
production,300,16,Resource Calendar ID4799,1459850.282467051,750596.5684245408
production,300,16,Resource Calendar ID4820,3958838.5666902326,2691305.6862126673
production,300,16,Resource Calendar ID4851,2861452.462700496,2088173.4260970976
production,300,16,Resource Calendar ID4872,1630204.3233885576,1104622.0634520834
production,300,16,Resource Calendar ID4873,2449533.7543328,1987256.4341331655
production,300,16,Resource Calendar ID4882,1397022.6047384646,835819.20217973
production,300,16,Resource Calendar ID4890,1098522.4983327927,470237.2287527984
production,300,16,Resource Calendar ID4932,2179938.12022406,1636573.29894151
production,300,16,Resource Calendar ID4955,2131522.2777243443,1685629.50809399
production,300,16,Resource Calendar Start,2855215.8639072613,2068524.507567228
production,100,32,Resource Calendar End,2092760.3544320546,774140.3400255147
